,_id,_score,cluster,entrezgene,name,notfound,symbol,taxid
RPS27L,100738416,55.671394,1,100738416,ribosomal protein S27 like,,RPS27L,9823.0
RPS3A,414390,55.78543,1,414390,ribosomal protein S3A,,RPS3A,9823.0
RPS6,100038023,53.31134,1,100038023,ribosomal protein S6,,RPS6,9823.0
RPS8,100516861,44.265724,1,100516861,ribosomal protein S8,,RPS8,9823.0
RRAGA,100153321,60.818905,1,100153321,Ras related GTP binding A,,RRAGA,9823.0
RRS1,100521788,57.579693,1,100521788,ribosome biogenesis regulator 1 homolog,,RRS1,9823.0
RSBN1,102159049,57.02797,1,102159049,round spermatid basic protein 1,,RSBN1,9823.0
RSBN1L,110262245,56.03885,1,110262245,round spermatid basic protein 1 like,,RSBN1L,9823.0
RSRC2,100154492,56.4833,1,100154492,arginine and serine rich coiled-coil 2,,RSRC2,9823.0
RSRP1,100626780,55.898254,1,100626780,arginine and serine rich protein 1,,RSRP1,9823.0
RTKN2,100157770,57.326515,1,100157770,rhotekin 2,,RTKN2,9823.0
RTN4,100170118,55.274357,1,100170118,reticulon 4,,RTN4,9823.0
RTRAF,100154555,55.90442,1,100154555,"RNA transcription, translation and transport factor",,RTRAF,9823.0
RUSC2,100158062,55.126995,1,100158062,RUN and SH3 domain containing 2,,RUSC2,9823.0
RXFP4,450213,60.12279,1,450213,relaxin family peptide/INSL5 receptor 4,,RXFP4,9823.0
S100A10,100515138,58.65217,1,100515138,S100 calcium binding protein A10,,S100A10,9823.0
S100A2,100152729,59.780735,1,100152729,S100 calcium binding protein A2,,S100A2,9823.0
S100A4,100156358,59.559063,1,100156358,S100 calcium binding protein A4,,S100A4,9823.0
S100A6,733608,59.13838,1,733608,S100 calcium binding protein A6,,S100A6,9823.0
SCAF11,100525109,55.843582,1,100525109,SR-related CTD associated factor 11,,SCAF11,9823.0
SCAND1,100157492,58.38079,1,100157492,SCAN domain containing 1,,SCAND1,9823.0
SELENOH,100462651,58.45732,1,100462651,selenoprotein H,,SELENOH,9823.0
SELENOM,100302025,55.44509,1,100302025,selenoprotein M,,SELENOM,9823.0
SELENOS,100151836,54.92102,1,100151836,selenoprotein S,,SELENOS,9823.0
SELENOT,100302502,57.10015,1,100302502,selenoprotein T,,SELENOT,9823.0
SEMA3C,100624508,55.894924,1,100624508,semaphorin 3C,,SEMA3C,9823.0
SEPTIN7,100523875,57.23934,1,100523875,septin 7,,SEPTIN7,9823.0
SERBP1,100518613,56.745667,1,100518613,SERPINE1 mRNA binding protein 1,,SERBP1,9823.0
SERF2,100154963,58.463654,1,100154963,small EDRK-rich factor 2,,SERF2,9823.0
SERINC1,102158514,54.862934,1,102158514,serine incorporator 1,,SERINC1,9823.0
SERINC4,100153748,55.87684,1,100153748,serine incorporator 4,,SERINC4,9823.0
SERP1,100156392,58.2867,1,100156392,stress associated endoplasmic reticulum protein 1,,SERP1,9823.0
SERPINE1,396945,56.122208,1,396945,serpin family E member 1,,SERPINE1,9823.0
SERTAD1,100624989,58.428032,1,100624989,SERTA domain containing 1,,SERTAD1,9823.0
SERTAD3,100625125,57.93548,1,100625125,SERTA domain containing 3,,SERTAD3,9823.0
SESTD1,100520222,55.38285,1,100520222,SEC14 and spectrin domain containing 1,,SESTD1,9823.0
SETD9,100521163,55.734436,1,100521163,SET domain containing 9,,SETD9,9823.0
SETDB2,100157885,55.999092,1,100157885,SET domain bifurcated histone lysine methyltransferase 2,,SETDB2,9823.0
SFPQ,110261143,56.000484,1,110261143,splicing factor proline and glutamine rich,,SFPQ,9823.0
SFT2D3,100516835,57.59276,1,100516835,SFT2 domain containing 3,,SFT2D3,9823.0
SHISA4,110255661,59.291122,1,110255661,shisa family member 4,,SHISA4,9823.0
SIAH1,100520614,56.38422,1,100520614,siah E3 ubiquitin protein ligase 1,,SIAH1,9823.0
SIAH2,100622531,56.788784,1,100622531,siah E3 ubiquitin protein ligase 2,,SIAH2,9823.0
SIX4,100153985,55.3637,1,100153985,SIX homeobox 4,,SIX4,9823.0
SKIDA1,100521330,57.551224,1,100521330,SKI/DACH domain containing 1,,SKIDA1,9823.0
SKIL,100153567,56.786457,1,100153567,SKI like proto-oncogene,,SKIL,9823.0
SLC24A5,100511672,55.537613,1,100511672,solute carrier family 24 member 5,,SLC24A5,9823.0
SLC2A2,397429,55.094715,1,397429,solute carrier family 2 member 2,,SLC2A2,9823.0
SLC30A1,503660,57.091705,1,503660,solute carrier family 30 member 1,,SLC30A1,9823.0
SLC30A7,100156498,55.777687,1,100156498,solute carrier family 30 member 7,,SLC30A7,9823.0
SLC35A5,100516761,54.850483,1,100516761,solute carrier family 35 member A5,,SLC35A5,9823.0
SLC38A2,100525644,56.899017,1,100525644,solute carrier family 38 member 2,,SLC38A2,9823.0
SLC38A4,100286742,57.8767,1,100286742,solute carrier family 38 member 4,,SLC38A4,9823.0
SLC40A1,100737517,56.14494,1,100737517,solute carrier family 40 member 1,,SLC40A1,9823.0
SLC4A7,100524044,56.798214,1,100524044,solute carrier family 4 member 7,,SLC4A7,9823.0
SLC50A1,100151868,56.325294,1,100151868,solute carrier family 50 member 1,,SLC50A1,9823.0
SLC5A3,110255177,57.282024,1,110255177,solute carrier family 5 member 3,,SLC5A3,9823.0
SLK,100156642,54.525322,1,100156642,STE20 like kinase,,SLK,9823.0
SLMAP,100514321,56.670486,1,100514321,sarcolemma associated protein,,SLMAP,9823.0
SMAD2,100155304,54.778183,1,100155304,SMAD family member 2,,SMAD2,9823.0
SMAD7,100521305,53.99651,1,100521305,SMAD family member 7,,SMAD7,9823.0
SMC4,100152361,53.99862,1,100152361,structural maintenance of chromosomes 4,,SMC4,9823.0
SMCHD1,100627122,54.22199,1,100627122,structural maintenance of chromosomes flexible hinge domain containing 1,,SMCHD1,9823.0
SMNDC1,100127466,55.27246,1,100127466,survival motor neuron domain containing 1,,SMNDC1,9823.0
SMURF2,100627676,53.886368,1,100627676,SMAD specific E3 ubiquitin protein ligase 2,,SMURF2,9823.0
SNAI2,102162332,56.033546,1,102162332,snail family transcriptional repressor 2,,SNAI2,9823.0
SOCS4,100302366,54.616646,1,100302366,suppressor of cytokine signaling 4,,SOCS4,9823.0
SON,396703,57.220795,1,396703,SON DNA binding protein,,SON,9823.0
SORBS2,396719,56.2697,1,396719,sorbin and SH3 domain containing 2,,SORBS2,9823.0
SOS2,100156602,55.23755,1,100156602,SOS Ras/Rho guanine nucleotide exchange factor 2,,SOS2,9823.0
SOX30,100521345,53.50035,1,100521345,SRY-box transcription factor 30,,SOX30,9823.0
SP3,100153372,55.75351,1,100153372,Sp3 transcription factor,,SP3,9823.0
SPARC,595124,54.669167,1,595124,secreted protein acidic and cysteine rich,,SPARC,9823.0
SPC24,110259343,56.607185,1,110259343,SPC24 component of NDC80 kinetochore complex,,SPC24,9823.0
SPCS1,100135675,54.075996,1,100135675,signal peptidase complex subunit 1,,SPCS1,9823.0
SPCS3,100526140,55.670208,1,100526140,signal peptidase complex subunit 3,,SPCS3,9823.0
SPP1,397087,56.620132,1,397087,secreted phosphoprotein 1,,SPP1,9823.0
SPRED1,100512576,53.90793,1,100512576,sprouty related EVH1 domain containing 1,,SPRED1,9823.0
SPRY2,100157266,55.171295,1,100157266,sprouty RTK signaling antagonist 2,,SPRY2,9823.0
SREK1,100511789,57.2254,1,100511789,splicing regulatory glutamic acid and lysine rich protein 1,,SREK1,9823.0
SRFBP1,100624712,57.087814,1,100624712,serum response factor binding protein 1,,SRFBP1,9823.0
SRI,100514123,56.89857,1,100514123,sorcin,,SRI,9823.0
SRSF10,100625186,55.93386,1,100625186,serine and arginine rich splicing factor 10,,SRSF10,9823.0
SRSF11,733656,55.454185,1,733656,serine and arginine rich splicing factor 11,,SRSF11,9823.0
SRSF3,100739153,55.945625,1,100739153,serine and arginine rich splicing factor 3,,SRSF3,9823.0
SRSF7,100518189,55.927624,1,100518189,serine and arginine rich splicing factor 7,,SRSF7,9823.0
SRXN1,100517736,56.32669,1,100517736,sulfiredoxin 1,,SRXN1,9823.0
SSB,100152189,50.581783,1,100152189,small RNA binding exonuclease protection factor La,,SSB,9823.0
SSBP2,100515711,56.899017,1,100515711,single stranded DNA binding protein 2,,SSBP2,9823.0
SSPN,100515546,55.97761,1,100515546,sarcospan,,SSPN,9823.0
ST3GAL6,100739492,57.889095,1,100739492,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",,ST3GAL6,9823.0
ST7,100125380,55.311737,1,100125380,suppression of tumorigenicity 7,,ST7,9823.0
ST8SIA1,100625270,55.596222,1,100625270,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",,ST8SIA1,9823.0
STEAP1,397573,58.35958,1,397573,STEAP family member 1,,STEAP1,9823.0
STK17B,100153033,54.274937,1,100153033,serine/threonine kinase 17b,,STK17B,9823.0
STK38L,100516734,54.38504,1,100516734,serine/threonine kinase 38 like,,STK38L,9823.0
STRN3,100624265,55.042973,1,100624265,striatin 3,,STRN3,9823.0
SUGCT,102168155,54.379326,1,102168155,succinyl-CoA:glutarate-CoA transferase,,SUGCT,9823.0
SUZ12,100294712,56.03245,1,100294712,SUZ12 polycomb repressive complex 2 subunit,,SUZ12,9823.0
SWT1,100518924,55.639343,1,100518924,SWT1 RNA endoribonuclease homolog,,SWT1,9823.0
SYNCRIP,100154370,55.5982,1,100154370,synaptotagmin binding cytoplasmic RNA interacting protein,,SYNCRIP,9823.0
SYNPO2,100525414,57.091705,1,100525414,synaptopodin 2,,SYNPO2,9823.0
SYTL2,100627498,56.726234,1,100627498,synaptotagmin like 2,,SYTL2,9823.0
TAB2,100156182,55.892334,1,100156182,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,,TAB2,9823.0
TANC2,100515233,56.877254,1,100515233,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",,TANC2,9823.0
TAOK1,100622172,56.149197,1,100622172,TAO kinase 1,,TAOK1,9823.0
TBC1D12,100153334,54.675068,1,100153334,TBC1 domain family member 12,,TBC1D12,9823.0
TBL1XR1,100522831,54.68947,1,100522831,TBL1X receptor 1,,TBL1XR1,9823.0
TBX20,100524471,54.436855,1,100524471,T-box transcription factor 20,,TBX20,9823.0
TCF12,100621557,55.454666,1,100621557,transcription factor 12,,TCF12,9823.0
TCF21,100152962,55.476456,1,100152962,transcription factor 21,,TCF21,9823.0
TDG,100155184,55.774628,1,100155184,thymine DNA glycosylase,,TDG,9823.0
TDO2,100301559,56.936222,1,100301559,"tryptophan 2,3-dioxygenase",,TDO2,9823.0
TENT5B,100511570,56.213783,1,100511570,terminal nucleotidyltransferase 5B,,TENT5B,9823.0
TES,100125376,57.428707,1,100125376,testin LIM domain protein,,TES,9823.0
TFPI2,100520144,56.009373,1,100520144,tissue factor pathway inhibitor 2,,TFPI2,9823.0
TGFBR2,100038019,54.002014,1,100038019,transforming growth factor beta receptor 2,,TGFBR2,9823.0
TGIF1,100625732,57.789528,1,100625732,TGFB induced factor homeobox 1,,TGIF1,9823.0
THAP11,100520959,57.729496,1,100520959,THAP domain containing 11,,THAP11,9823.0
THAP5,100521761,58.256363,1,100521761,THAP domain containing 5,,THAP5,9823.0
THBS1,492313,55.38914,1,492313,thrombospondin 1,,THBS1,9823.0
THOC6,100626533,56.535107,1,100626533,THO complex 6,,THOC6,9823.0
TIAL1,100158186,56.157116,1,100158186,TIA1 cytotoxic granule associated RNA binding protein like 1,,TIAL1,9823.0
TINAGL1,100517950,54.837685,1,100517950,tubulointerstitial nephritis antigen like 1,,TINAGL1,9823.0
TIPARP,100626111,55.071083,1,100626111,TCDD inducible poly(ADP-ribose) polymerase,,TIPARP,9823.0
TLCD1,100514185,55.887474,1,100514185,TLC domain containing 1,,TLCD1,9823.0
TM4SF1,100522035,58.901825,1,100522035,transmembrane 4 L six family member 1,,TM4SF1,9823.0
TMED5,100157999,55.42106,1,100157999,transmembrane p24 trafficking protein 5,,TMED5,9823.0
TMEM126A,100627094,58.246006,1,100627094,transmembrane protein 126A,,TMEM126A,9823.0
TMEM158,100620777,58.204693,1,100620777,transmembrane protein 158,,TMEM158,9823.0
TMEM167B,100151851,56.503273,1,100151851,transmembrane protein 167B,,TMEM167B,9823.0
TMEM168,100518941,58.39037,1,100518941,transmembrane protein 168,,TMEM168,9823.0
TMEM183A,100512006,55.183502,1,100512006,transmembrane protein 183A,,TMEM183A,9823.0
TMEM196,100626890,56.60622,1,100626890,transmembrane protein 196,,TMEM196,9823.0
TMEM200A,100157644,55.089394,1,100157644,transmembrane protein 200A,,TMEM200A,9823.0
TMEM212,100519624,58.696037,1,100519624,transmembrane protein 212,,TMEM212,9823.0
TMEM244,100524655,57.188072,1,100524655,transmembrane protein 244,,TMEM244,9823.0
TMEM251,414384,57.089203,1,414384,transmembrane protein 251,,TMEM251,9823.0
TMEM263,100620181,56.043457,1,100620181,transmembrane protein 263,,TMEM263,9823.0
TMEM69,110261239,57.139153,1,110261239,transmembrane protein 69,,TMEM69,9823.0
TMEM70,100155813,56.77401,1,100155813,transmembrane protein 70,,TMEM70,9823.0
TMF1,100153051,55.50023,1,100153051,TATA element modulatory factor 1,,TMF1,9823.0
TMSB10,100037998,60.015873,1,100037998,thymosin beta 10,,TMSB10,9823.0
TNFRSF12A,100217390,58.958828,1,100217390,TNF receptor superfamily member 12A,,TNFRSF12A,9823.0
TNFSF18,100516458,56.901123,1,100516458,TNF superfamily member 18,,TNFSF18,9823.0
TNIK,100233204,55.740314,1,100233204,TRAF2 and NCK interacting kinase,,TNIK,9823.0
TNPO1,100627484,55.440907,1,100627484,transportin 1,,TNPO1,9823.0
TOMM20,100152814,55.587383,1,100152814,translocase of outer mitochondrial membrane 20,,TOMM20,9823.0
TOP1,100518587,56.840595,1,100518587,DNA topoisomerase I,,TOP1,9823.0
TOX,100155888,56.122208,1,100155888,thymocyte selection associated high mobility group box,,TOX,9823.0
TPD52L3,100518290,60.946507,1,100518290,TPD52 like 3,,TPD52L3,9823.0
TPR,100520507,56.620132,1,100520507,"translocated promoter region, nuclear basket protein",,TPR,9823.0
TRA2A,768110,55.573353,1,768110,transformer 2 alpha homolog,,TRA2A,9823.0
TRA2B,768108,57.134796,1,768108,transformer 2 beta homolog,,TRA2B,9823.0
TRAPPC13,100513053,54.214634,1,100513053,trafficking protein particle complex 13,,TRAPPC13,9823.0
TRAPPC4,100516212,54.643635,1,100516212,trafficking protein particle complex 4,,TRAPPC4,9823.0
TRDMT1,100302362,55.849346,1,100302362,tRNA aspartic acid methyltransferase 1,,TRDMT1,9823.0
TREX1,100155669,60.47379,1,100155669,three prime repair exonuclease 1,,TREX1,9823.0
TRMT5,100519406,55.832634,1,100519406,tRNA methyltransferase 5,,TRMT5,9823.0
TRNP1,100511386,58.55396,1,100511386,TMF1 regulated nuclear protein 1,,TRNP1,9823.0
TRPM7,100169932,54.35615,1,100169932,transient receptor potential cation channel subfamily M member 7,,TRPM7,9823.0
TSC22D2,100155608,56.0794,1,100155608,TSC22 domain family member 2,,TSC22D2,9823.0
TSPYL1,100518283,60.274567,1,100518283,TSPY like 1,,TSPYL1,9823.0
TSTD1,100158075,56.37345,1,100158075,thiosulfate sulfurtransferase like domain containing 1,,TSTD1,9823.0
TTC28,100516229,56.84694,1,100516229,tetratricopeptide repeat domain 28,,TTC28,9823.0
TUBB,733686,59.10935,1,733686,tubulin beta class I,,TUBB,9823.0
TWF1,100523377,54.828945,1,100523377,twinfilin actin binding protein 1,,TWF1,9823.0
TXN2,100158080,55.74451,1,100158080,thioredoxin 2,,TXN2,9823.0
TXNDC17,100521639,54.02763,1,100521639,thioredoxin domain containing 17,,TXNDC17,9823.0
TYW5,100522402,54.75304,1,100522402,tRNA-yW synthesizing protein 5,,TYW5,9823.0
U2SURP,100517309,57.10015,1,100517309,U2 snRNP associated SURP domain containing,,U2SURP,9823.0
UAP1,100156649,54.957603,1,100156649,UDP-N-acetylglucosamine pyrophosphorylase 1,,UAP1,9823.0
UBA3,100153428,56.60622,1,100153428,ubiquitin like modifier activating enzyme 3,,UBA3,9823.0
UBA6,100512547,52.007595,1,100512547,ubiquitin like modifier activating enzyme 6,,UBA6,9823.0
UBE3A,100522589,54.19062,1,100522589,ubiquitin protein ligase E3A,,UBE3A,9823.0
UFSP2,100517682,55.64554,1,100517682,UFM1 specific peptidase 2,,UFSP2,9823.0
UGCG,100152737,55.043816,1,100152737,UDP-glucose ceramide glucosyltransferase,,UGCG,9823.0
UGP2,397040,56.455658,1,397040,UDP-glucose pyrophosphorylase 2,,UGP2,9823.0
UHMK1,100152072,55.82626,1,100152072,U2AF homology motif kinase 1,,UHMK1,9823.0
UHRF2,102168004,56.939053,1,102168004,ubiquitin like with PHD and ring finger domains 2,,UHRF2,9823.0
UQCR10,100155687,64.4763,1,100155687,ubiquinol-cytochrome c reductase complex 7.2 kDa protein,,UQCR10,9823.0
USP1,100523071,53.412163,1,100523071,ubiquitin specific peptidase 1,,USP1,9823.0
USP15,100524085,53.748745,1,100524085,ubiquitin specific peptidase 15,,USP15,9823.0
USP25,100628105,54.391632,1,100628105,ubiquitin specific peptidase 25,,USP25,9823.0
USP38,100624340,54.334637,1,100624340,ubiquitin specific peptidase 38,,USP38,9823.0
USP53,100626376,55.50023,1,100626376,ubiquitin specific peptidase 53,,USP53,9823.0
UTP23,100738679,55.90393,1,100738679,UTP23 small subunit processome component,,UTP23,9823.0
UTP3,100217385,54.95016,1,100217385,UTP3 small subunit processome component,,UTP3,9823.0
VASN,102158247,56.72157,1,102158247,vasorin,,VASN,9823.0
VCL,396974,55.911644,1,396974,vinculin,,VCL,9823.0
VCPIP1,100621816,56.501442,1,100621816,valosin containing protein interacting protein 1,,VCPIP1,9823.0
VCPKMT,100738287,55.679604,1,100738287,valosin containing protein lysine methyltransferase,,VCPKMT,9823.0
VDAC2,397659,55.290257,1,397659,voltage dependent anion channel 2,,VDAC2,9823.0
VEGFC,100525960,56.264378,1,100525960,vascular endothelial growth factor C,,VEGFC,9823.0
VEGFC,100127470,54.829285,1,100127470,vascular endothelial growth factor C,,VEGFC,9823.0
VGLL3,100233225,56.599583,1,100233225,vestigial like family member 3,,VGLL3,9823.0
VIM,100522394,54.708946,1,100522394,vimentin,,VIM,9823.0
VPS29,100737886,55.553963,1,100737886,VPS29 retromer complex component,,VPS29,9823.0
VPS54,100621212,54.11923,1,100621212,VPS54 subunit of GARP complex,,VPS54,9823.0
WARS2,100737714,55.31729,1,100737714,"tryptophanyl tRNA synthetase 2, mitochondrial",,WARS2,9823.0
WASL,100525017,57.64991,1,100525017,WASP like actin nucleation promoting factor,,WASL,9823.0
WDSUB1,110256929,55.23755,1,110256929,"WD repeat, sterile alpha motif and U-box domain containing 1",,WDSUB1,9823.0
WEE1,100521487,56.022247,1,100521487,WEE1 G2 checkpoint kinase,,WEE1,9823.0
WNT16,100511484,55.679604,1,100511484,Wnt family member 16,,WNT16,9823.0
WSB1,100525660,55.707855,1,100525660,WD repeat and SOCS box containing 1,,WSB1,9823.0
WWP1,100157283,55.446587,1,100157283,WW domain containing E3 ubiquitin protein ligase 1,,WWP1,9823.0
XBP1,100217386,58.589138,1,100217386,X-box binding protein 1,,XBP1,9823.0
YAF2,110260764,55.35116,1,110260764,YY1 associated factor 2,,YAF2,9823.0
YAP1,100622418,54.41276,1,100622418,Yes associated protein 1,,YAP1,9823.0
YARS2,100624597,55.350677,1,100624597,tyrosyl-tRNA synthetase 2,,YARS2,9823.0
YBX3,100518125,56.811214,1,100518125,Y-box binding protein 3,,YBX3,9823.0
YOD1,100520400,54.782074,1,100520400,YOD1 deubiquitinase,,YOD1,9823.0
YTHDF2,100623159,55.777596,1,100623159,YTH N6-methyladenosine RNA binding protein 2,,YTHDF2,9823.0
YTHDF3,106510070,56.106873,1,106510070,YTH N6-methyladenosine RNA binding protein 3,,YTHDF3,9823.0
YWHAG,100523057,56.470776,1,100523057,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma,,YWHAG,9823.0
YWHAZ,780440,57.162785,1,780440,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,,YWHAZ,9823.0
ZBED2,100517972,60.101093,1,100517972,zinc finger BED-type containing 2,,ZBED2,9823.0
ZBED5,100525805,59.777733,1,100525805,zinc finger BED-type containing 5,,ZBED5,9823.0
ZBTB18,100623289,55.328465,1,100623289,zinc finger and BTB domain containing 18,,ZBTB18,9823.0
ZBTB20,100624908,55.357315,1,100624908,zinc finger and BTB domain containing 20,,ZBTB20,9823.0
ZC2HC1A,100154167,55.17509,1,100154167,zinc finger C2HC-type containing 1A,,ZC2HC1A,9823.0
ZC3H12C,100511889,57.086365,1,100511889,zinc finger CCCH-type containing 12C,,ZC3H12C,9823.0
ZC3H15,100158058,56.659317,1,100158058,zinc finger CCCH-type containing 15,,ZC3H15,9823.0
ZEB2,100739669,55.183502,1,100739669,zinc finger E-box binding homeobox 2,,ZEB2,9823.0
ZFAND5,100048933,56.30518,1,100048933,zinc finger AN1-type containing 5,,ZFAND5,9823.0
ZFC3H1,100620115,56.302628,1,100620115,zinc finger C3H1-type containing,,ZFC3H1,9823.0
ZFP42,100627512,64.603966,1,100627512,ZFP42 zinc finger protein,,ZFP42,9823.0
ZNF148,100515279,54.183556,1,100515279,zinc finger protein 148,,ZNF148,9823.0
ZNF367,100514675,55.410088,1,100514675,zinc finger protein 367,,ZNF367,9823.0
ZNF436,100520912,60.958057,1,100520912,zinc finger protein 436,,ZNF436,9823.0
ZNF703,100525011,58.45215,1,100525011,zinc finger protein 703,,ZNF703,9823.0
ZNRF2,100514021,56.532555,1,100514021,zinc and ring finger 2,,ZNRF2,9823.0
ZRANB2,733651,57.162785,1,733651,zinc finger RANBP2-type containing 2,,ZRANB2,9823.0
AAGAB,100517743,56.37726,2,100517743,alpha and gamma adaptin binding protein,,AAGAB,9823.0
AAK1,110255208,57.648945,2,110255208,AP2 associated kinase 1,,AAK1,9823.0
AASDHPPT,100525064,56.877254,2,100525064,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,,AASDHPPT,9823.0
ABCE1,100524881,55.082756,2,100524881,ATP binding cassette subfamily E member 1,,ABCE1,9823.0
ABHD15,100516224,57.23968,2,100516224,abhydrolase domain containing 15,,ABHD15,9823.0
ABI2,100514879,55.062897,2,100514879,abl interactor 2,,ABI2,9823.0
ABT1,100153723,56.773567,2,100153723,activator of basal transcription 1,,ABT1,9823.0
ACACA,397324,54.959164,2,397324,acetyl-CoA carboxylase alpha,,ACACA,9823.0
ACAP2,100627914,56.021515,2,100627914,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",,ACAP2,9823.0
ACIN1,100156353,56.529747,2,100156353,apoptotic chromatin condensation inducer 1,,ACIN1,9823.0
ACOT13,100514587,56.69748,2,100514587,acyl-CoA thioesterase 13,,ACOT13,9823.0
ACTL6A,100523570,53.927895,2,100523570,actin like 6A,,ACTL6A,9823.0
ACTN1,100513412,56.618378,2,100513412,actinin alpha 1,,ACTN1,9823.0
ACTR1A,100156619,60.63391,2,100156619,actin related protein 1A,,ACTR1A,9823.0
ACTR3,396738,56.659084,2,396738,actin related protein 3,,ACTR3,9823.0
ACTRT3,100625440,57.30873,2,100625440,actin related protein T3,,ACTRT3,9823.0
ADAM12,100157228,55.9357,2,100157228,ADAM metallopeptidase domain 12,,ADAM12,9823.0
ADAM9,397344,54.62131,2,397344,ADAM metallopeptidase domain 9,,ADAM9,9823.0
ADAMTS1,497061,56.501442,2,497061,ADAM metallopeptidase with thrombospondin type 1 motif 1,,ADAMTS1,9823.0
ADAMTS9,100520218,55.45533,2,100520218,ADAM metallopeptidase with thrombospondin type 1 motif 9,,ADAMTS9,9823.0
ADD3,100155574,56.503273,2,100155574,adducin 3,,ADD3,9823.0
ADIPOR2,404694,56.600796,2,404694,adiponectin receptor 2,,ADIPOR2,9823.0
ADK,100154626,54.76973,2,100154626,adenosine kinase,,ADK,9823.0
ADNP,100141411,54.874252,2,100141411,activity dependent neuroprotector homeobox,,ADNP,9823.0
AFF4,100524487,54.58696,2,100524487,AF4/FMR2 family member 4,,AFF4,9823.0
AFTPH,100518778,55.72392,2,100518778,aftiphilin,,AFTPH,9823.0
AHI1,100514806,56.52453,2,100514806,Abelson helper integration site 1,,AHI1,9823.0
AIG1,100151943,56.15364,2,100151943,androgen induced 1,,AIG1,9823.0
AIMP1,100135670,56.511528,2,100135670,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,,AIMP1,9823.0
AK6,106504175,57.087814,2,106504175,adenylate kinase 6,,AK6,9823.0
AKAP6,100155181,56.011387,2,100155181,A-kinase anchoring protein 6,,AKAP6,9823.0
AKIRIN1,100144621,57.40711,2,100144621,akirin 1,,AKIRIN1,9823.0
AKR1B1,396816,60.001415,2,396816,aldo-keto reductase family 1 member B,,AKR1B1,9823.0
AKT1S1,100519715,57.323856,2,100519715,AKT1 substrate 1,,AKT1S1,9823.0
ALAS1,100307125,27.499931,2,100307125,"aminolevulinate, delta-, synthase 1 pseudogene",,ALAS1,9823.0
ALG5,100154411,54.666668,2,100154411,ALG5 dolichyl-phosphate beta-glucosyltransferase,,ALG5,9823.0
ALKAL1,110260296,56.815075,2,110260296,ALK and LTK ligand 1,,ALKAL1,9823.0
AMD1,100155925,55.100536,2,100155925,adenosylmethionine decarboxylase 1,,AMD1,9823.0
ANAPC16,100155019,54.75313,2,100155019,anaphase promoting complex subunit 16,,ANAPC16,9823.0
ANGPT1,397009,56.15606,2,397009,angiopoietin 1,,ANGPT1,9823.0
ANGPTL1,100126165,55.450363,2,100126165,angiopoietin like 1,,ANGPTL1,9823.0
ANGPTL4,397628,56.658978,2,397628,angiopoietin like 4,,ANGPTL4,9823.0
ANGPTL5,100519911,56.022247,2,100519911,angiopoietin like 5,,ANGPTL5,9823.0
ANKHD1,100512270,61.428867,2,100512270,ankyrin repeat and KH domain containing 1,,ANKHD1,9823.0
ANKIB1,100517844,55.413445,2,100517844,ankyrin repeat and IBR domain containing 1,,ANKIB1,9823.0
ANKMY2,100627896,55.835693,2,100627896,ankyrin repeat and MYND domain containing 2,,ANKMY2,9823.0
ANKRD12,100519490,56.8396,2,100519490,ankyrin repeat domain 12,,ANKRD12,9823.0
ANKRD37,100153642,56.302628,2,100153642,ankyrin repeat domain 37,,ANKRD37,9823.0
ANKRD42,100516028,58.45732,2,100516028,ankyrin repeat domain 42,,ANKRD42,9823.0
ANKRD49,100516989,55.0391,2,100516989,ankyrin repeat domain 49,,ANKRD49,9823.0
ANKRD50,100625549,54.935,2,100625549,ankyrin repeat domain 50,,ANKRD50,9823.0
ANLN,100523340,55.973324,2,100523340,anillin actin binding protein,,ANLN,9823.0
ANO6,100155593,55.967514,2,100155593,anoctamin 6,,ANO6,9823.0
ANXA4,100312960,56.022247,2,100312960,annexin A4,,ANXA4,9823.0
ANXA7,100156638,56.661453,2,100156638,annexin A7,,ANXA7,9823.0
AP3M1,100155017,58.198284,2,100155017,adaptor related protein complex 3 subunit mu 1,,AP3M1,9823.0
AP4S1,100154615,53.932034,2,100154615,adaptor related protein complex 4 subunit sigma 1,,AP4S1,9823.0
AP5M1,100153219,53.85857,2,100153219,adaptor related protein complex 5 subunit mu 1,,AP5M1,9823.0
APBB2,100514856,56.599583,2,100514856,amyloid beta precursor protein binding family B member 2,,APBB2,9823.0
APC,100517932,54.791077,2,100517932,APC regulator of WNT signaling pathway,,APC,9823.0
APIP,100525733,54.33171,2,100525733,APAF1 interacting protein,,APIP,9823.0
APLP2,100126835,54.59312,2,100126835,amyloid beta precursor like protein 2,,APLP2,9823.0
APPL1,100188978,55.64299,2,100188978,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",,APPL1,9823.0
